# output_current_1.csv run at 2000-01-01 00:01:00 UTC on 907 links
link_name,currA_mag,currA_angle,currB_mag,currB_angle,currC_mag,currC_angle
Source_Impedance,9.269774,-0.484260,8.202512,3.996363,10.875652,1.833076
TR1,9.269774,-0.484260,8.202512,3.996363,10.875652,1.833076
LINE1,316.039393,-0.848009,171.268189,3.373525,256.793873,1.254381
LINE2,316.039393,-0.848009,171.268189,3.373525,256.793873,1.254381
LINE3,316.039393,-0.848009,171.268189,3.373525,256.793873,1.254381
LINE4,316.039393,-0.848009,171.268189,3.373525,256.793873,1.254381
LINE5,316.039393,-0.848009,171.268189,3.373525,256.793873,1.254381
LINE6,316.039393,-0.848009,171.268189,3.373525,256.793873,1.254381
LINE7,316.039393,-0.848009,171.268189,3.373525,256.793873,1.254381
LINE8,316.039393,-0.848009,171.268189,3.373525,256.793873,1.254381
LINE9,316.039393,-0.848009,171.268189,3.373525,256.793873,1.254381
LINE10,316.039393,-0.848009,171.268189,3.373525,256.793873,1.254381
LINE11,316.039393,-0.848009,171.268189,3.373525,256.793873,1.254381
LINE12,316.039393,-0.848009,171.268189,3.373525,256.793873,1.254381
LINE13,316.039393,-0.848009,171.268189,3.373525,256.793873,1.254381
LINE14,316.039393,-0.848009,171.268189,3.373525,256.793873,1.254381
LINE15,0.000000,-0.437342,0.000000,4.012716,0.000000,1.506822
LINE16,316.039393,-0.848009,171.268189,3.373525,256.793873,1.254381
LINE17,0.000000,-0.149287,0.000000,4.306951,0.000000,-0.024932
LINE18,316.039393,-0.848009,171.268189,3.373525,256.793873,1.254381
LINE19,0.000000,-0.316389,0.000000,-1.007726,0.000000,1.577104
LINE20,316.039393,-0.848009,171.268189,3.373525,256.793873,1.254381
LINE21,0.000000,-0.405438,0.000000,-1.007726,0.000000,1.631591
LINE22,316.039393,-0.848009,171.268189,3.373525,256.793873,1.254381
LINE23,0.000000,-0.719670,0.000000,4.687457,0.000000,1.647080
LINE24,316.039393,-0.848009,171.268189,3.373525,256.793873,1.254381
LINE25,0.000000,-0.612935,0.000000,4.012716,0.000000,1.631591
LINE26,0.384275,-0.853049,0.000000,3.707537,0.000000,1.576460
LINE27,315.655123,-0.848003,171.268189,3.373525,256.793873,1.254381
LINE28,0.000000,-0.583531,0.000000,3.902059,0.000000,3.116661
LINE29,0.153710,-0.853049,0.000000,1.496068,0.000000,1.423718
LINE30,0.230565,-0.853048,0.000000,3.747823,0.000000,1.577257
LINE31,315.655123,-0.848003,171.268189,3.373525,256.793873,1.254381
LINE32,0.000000,-0.575318,0.000000,3.840911,0.000000,1.667654
LINE33,0.153710,-0.853049,0.000000,-1.320143,0.000000,3.960029
